County_code,County
vvOK1BxTbet,Baringo County
HMNARUV2CW4,Bomet County
KGHhQ5GLd4k,Bungoma County
MqnLxQBigG0,Elgeyo Marakwet County
PFu8alU2KWG,Embu County
uyOrcHZBpW0,Garissa County
nK0A12Q7MvS,Homa Bay County
bzOfj0iwfDH,Isiolo County
Hsk1YV8kHkT,Kajiado County
ihZsJ8alvtb,Kericho County
qKzosKQPl6G,Kiambu County
nrI2khZx3d0,Kilifi County
Ulj33KBau7V,Kirinyaga County
sPkRcDvhGWA,Kisii County
tAbBVBbueqD,Kisumu County
j8o6iO4Njsi,Kitui County
N7YETT3A9r1,Kwale County
xuFdFy6t9AH,Laikipia County
NjWSbQTwys4,Lamu County
BoDytkJQ4Qi,Makueni County
R6f9znhg37c,Mandera County
Eey8fT4Im3y,Marsabit County
Y52XNJ50hYb,Meru County
fVra3Pwta0Q,Migori County
wsBsC6gjHvn,Mombasa County
ahwTMNAJvrL,Muranga County
jkG3zaihdSs,Nairobi County
ob6SxuRcqU4,Nakuru County
t0J75eHKxz5,Nandi County
uepLTG8wGWJ,Nyamira County
mYZacFNIB3h,Nyandarua County
ptWVfaCIdVx,Nyeri County
o36zCRjSd4G,Samburu County
QyGNX2DpR4h,Taita Taveta County
JsH2bnvNt2d,Tana River County
T4urHM47nlm,Tharaka Nithi County
pZqQRRW7PHP,Uasin Gishu County
CeLsrJOH0g9,Wajir County
Tvf1zgVZ0K4,Busia County
BjC1xL40gHo,Kakamega County
mThvosEflAU,Trans Nzoia County
kphDeKClFch,Turkana County
sANMZ3lpqGs,Vihiga County
XWALbfAPa6n,West Pokot County
yhCUgGcCcOo,Machakos County
kqJ83J2D72s,Narok County
u4t9H8XyU9P,Siaya County
