County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bungoma County,0,0,1,0,0,0,0,0,8,2,0,0
Garissa County,3,0,0,0,0,0,0,0,0,0,0,0
Kajiado County,0,0,0,0,0,0,0,1,0,0,0,0
Kakamega County,0,3,0,4,2,4,3,1,3,2,8,1
Kericho County,0,0,0,0,0,0,2,0,0,1,0,1
Kiambu County,0,0,4,0,1,0,0,0,0,0,1,0
Kilifi County,1,1,1,2,0,3,3,2,0,2,3,0
Kisumu County,0,0,0,2,0,0,0,0,1,1,1,0
Machakos County,0,0,0,0,0,0,0,0,0,7,0,0
Mandera County,0,0,0,0,0,0,0,0,0,1,1,1
Marsabit County,0,0,7,0,0,0,0,0,0,1,0,0
Mombasa County,0,0,0,1,0,0,0,0,0,2,2,3
Nairobi County,2,11,1,1,0,1,0,0,4,2,1,3
Nakuru County,5,0,0,1,1,0,2,3,0,0,0,1
Siaya County,0,0,0,0,0,0,2,0,0,0,1,2
Tharaka Nithi County,0,0,0,0,1,0,1,0,0,0,0,0
Turkana County,0,0,0,0,0,10,7,8,8,0,22,1
Bungoma County,0,7,4,0,0,12,11,14,8,9,0,3
Garissa County,3,0,1,0,0,1,1,3,2,0,0,3
Kakamega County,2,8,7,13,7,10,8,17,8,5,9,3
Kiambu County,5,18,18,14,17,12,10,14,0,11,9,12
Kisumu County,1,1,3,1,3,1,0,0,0,1,1,0
Kitui County,10,12,17,0,0,0,0,0,0,0,0,0
Mandera County,10,3,16,2,0,4,0,1,2,19,16,14
Marsabit County,16,9,12,8,9,9,10,10,7,9,8,6
Mombasa County,0,0,0,19,0,0,0,0,0,12,12,8
Nairobi County,18,7,1,31,0,13,9,8,23,59,30,22
Nyandarua County,0,0,0,0,3,0,2,1,5,0,0,3
Siaya County,0,0,3,0,1,2,0,0,1,1,2,2
Tharaka Nithi County,2,11,9,6,2,12,8,15,12,0,0,4
