County,Totals
,
,
,
,
,
Baringo County,23525
,
,
,
,
,
,
Bomet County,1433347
,
,
,
,
,
,
Bungoma County,4468611
,
,
,
,
,
,
,
Busia County,140109
,
,
,
,
,
,
Elgeyo Marakwet County,39748
,
,
,
,
,
,
Embu County,884277
,
,
,
,
,
,
,
Garissa County,201119
,
,
,
,
,
,
,
Homa Bay County,4673331
,
,
,
,
,
Isiolo County,48617
,
,
,
,
,
,
Kajiado County,709041
,
,
,
,
,
,
Kakamega County,3317150
,
,
,
,
,
,
,
Kericho County,214175
,
,
,
,
,
,
Kiambu County,2253974
,
,
,
,
,
Kilifi County,2527487
,
,
,
Kirinyaga County,479122
,
,
,
,
,
,
,
,
Kisii County,4266518
,
,
,
,
,
,
,
Kisumu County,734989
,
,
,
,
,
,
Kitui County,2503615
,
,
,
,
,
,
,
Kwale County,1178530
,
,
,
,
,
Laikipia County,926529
,
,
,
,
,
,
,
Lamu County,97069
,
,
,
,
Machakos County,1566843
,
,
,
,
,
Makueni County,902159
,
,
,
,
,
Mandera County,48832
,
,
,
,
,
,
,
Marsabit County,196036
,
,
,
,
,
,
Meru County,889441
,
,
,
,
,
Migori County,5921752
,
,
,
,
,
,
Mombasa County,1488275
,
,
,
,
,
,
Muranga County,159716
,
,
,
,
,
Nairobi County,7656056
,
,
,
,
,
,
Nakuru County,5290156
,
,
,
,
,
,
,
Nandi County,1887286
,
,
,
Narok County,1099918
,
,
,
,
,
,
Nyamira County,2248250
,
,
,
,
Nyandarua County,54535
,
,
,
,
Nyeri County,1048594
,
,
,
,
,
Samburu County,93229
,
,
Siaya County,12296
,
,
,
,
,
,
,
Taita Taveta County,1092677
,
,
,
,
,
Tana River County,136922
,
,
,
,
,
,
Tharaka Nithi County,504744
,
,
,
,
,
,
Trans Nzoia County,1752974
,
,
,
,
Turkana County,983589
,
,
,
,
,
,
,
Uasin Gishu County,1921605
,
,
,
Vihiga County,3855
,
,
,
,
,
,
Wajir County,77732
,
,
,
West Pokot County,1208906
