County_code,County,Prevalence
KGHhQ5GLd4k,Bungoma County,430707
MqnLxQBigG0,Elgeyo Marakwet County,12135
PFu8alU2KWG,Embu County,810
Hsk1YV8kHkT,Kajiado County,5684
BjC1xL40gHo,Kakamega County,733512
ihZsJ8alvtb,Kericho County,25616
nrI2khZx3d0,Kilifi County,88503
sPkRcDvhGWA,Kisii County,48031
N7YETT3A9r1,Kwale County,153562
xuFdFy6t9AH,Laikipia County,1061
NjWSbQTwys4,Lamu County,278
yhCUgGcCcOo,Machakos County,3982
R6f9znhg37c,Mandera County,686
Eey8fT4Im3y,Marsabit County,1670
jkG3zaihdSs,Nairobi County,31489
ob6SxuRcqU4,Nakuru County,16800
ptWVfaCIdVx,Nyeri County,386
JsH2bnvNt2d,Tana River County,5562
kphDeKClFch,Turkana County,301232
CeLsrJOH0g9,Wajir County,609
