County Code,County,Census
vvOK1BxTbet,Baringo County,"666,763.00"
HMNARUV2CW4,Bomet County,"875,689.00"
KGHhQ5GLd4k,Bungoma County,"1,670,570.00"
MqnLxQBigG0,Elgeyo Marakwet County,"454,480.00"
PFu8alU2KWG,Embu County,"608,599.00"
uyOrcHZBpW0,Garissa County,"841,353.00"
nK0A12Q7MvS,Homa Bay County,"1,131,950.00"
bzOfj0iwfDH,Isiolo County,"268,002.00"
Hsk1YV8kHkT,Kajiado County,"1,117,840.00"
ihZsJ8alvtb,Kericho County,"901,777.00"
qKzosKQPl6G,Kiambu County,"2,417,735.00"
nrI2khZx3d0,Kilifi County,"1,453,787.00"
Ulj33KBau7V,Kirinyaga County,"610,411.00"
sPkRcDvhGWA,Kisii County,"1,266,860.00"
tAbBVBbueqD,Kisumu County,"1,155,574.00"
j8o6iO4Njsi,Kitui County,"1,136,187.00"
N7YETT3A9r1,Kwale County,"866,820.00"
xuFdFy6t9AH,Laikipia County,"518,560.00"
NjWSbQTwys4,Lamu County,"143,920.00"
BoDytkJQ4Qi,Makueni County,"987,653.00"
R6f9znhg37c,Mandera County,"867,457.00"
Eey8fT4Im3y,Marsabit County,"459,785.00"
Y52XNJ50hYb,Meru County,"1,545,714.00"
fVra3Pwta0Q,Migori County,"1,116,436.00"
wsBsC6gjHvn,Mombasa County,"1,208,333.00"
ahwTMNAJvrL,Muranga County,"1,056,640.00"
jkG3zaihdSs,Nairobi County,"4,397,073.00"
ob6SxuRcqU4,Nakuru County,"2,162,202.00"
t0J75eHKxz5,Nandi County,"885,711.00"
uepLTG8wGWJ,Nyamira County,"605,576.00"
mYZacFNIB3h,Nyandarua County,"638,289.00"
ptWVfaCIdVx,Nyeri County,"759,164.00"
o36zCRjSd4G,Samburu County,"310,327.00"
QyGNX2DpR4h,Taita Taveta County,"340,671.00"
JsH2bnvNt2d,Tana River County,"315,943.00"
T4urHM47nlm,Tharaka Nithi County,"393,177.00"
pZqQRRW7PHP,Uasin Gishu County,"1,163,186.00"
CeLsrJOH0g9,Wajir County,"781,263.00"
Tvf1zgVZ0K4,Busia County,"893,681.00"
BjC1xL40gHo,Kakamega County,"1,867,579.00"
mThvosEflAU,Trans Nzoia County,"990,341.00"
kphDeKClFch,Turkana County,"926,976.00"
sANMZ3lpqGs,Vihiga County,"590,013.00"
XWALbfAPa6n,West Pokot County,"621,241.00"
yhCUgGcCcOo,Machakos County,"1,421,932.00"
kqJ83J2D72s,Narok County,"1,157,873.00"
u4t9H8XyU9P,Siaya County,"993,183.00"
