V1,V2
1,vvOK1BxTbet,Baringo County
2,HMNARUV2CW4,Bomet County
3,KGHhQ5GLd4k,Bungoma County
4,MqnLxQBigG0,Elgeyo Marakwet County
5,PFu8alU2KWG,Embu County
6,uyOrcHZBpW0,Garissa County
7,nK0A12Q7MvS,Homa Bay County
8,bzOfj0iwfDH,Isiolo County
9,Hsk1YV8kHkT,Kajiado County
10,ihZsJ8alvtb,Kericho County
11,qKzosKQPl6G,Kiambu County
12,nrI2khZx3d0,Kilifi County
13,Ulj33KBau7V,Kirinyaga County
14,sPkRcDvhGWA,Kisii County
15,tAbBVBbueqD,Kisumu County
16,j8o6iO4Njsi,Kitui County
17,N7YETT3A9r1,Kwale County
18,xuFdFy6t9AH,Laikipia County
19,NjWSbQTwys4,Lamu County
20,BoDytkJQ4Qi,Makueni County
21,R6f9znhg37c,Mandera County
22,Eey8fT4Im3y,Marsabit County
23,Y52XNJ50hYb,Meru County
24,fVra3Pwta0Q,Migori County
25,wsBsC6gjHvn,Mombasa County
26,ahwTMNAJvrL,Muranga County
27,jkG3zaihdSs,Nairobi County
28,ob6SxuRcqU4,Nakuru County
29,t0J75eHKxz5,Nandi County
30,uepLTG8wGWJ,Nyamira County
31,mYZacFNIB3h,Nyandarua County
32,ptWVfaCIdVx,Nyeri County
33,o36zCRjSd4G,Samburu County
34,QyGNX2DpR4h,Taita Taveta County
35,JsH2bnvNt2d,Tana River County
36,T4urHM47nlm,Tharaka Nithi County
37,pZqQRRW7PHP,Uasin Gishu County
38,CeLsrJOH0g9,Wajir County
39,Tvf1zgVZ0K4,Busia County
40,BjC1xL40gHo,Kakamega County
41,mThvosEflAU,Trans Nzoia County
42,kphDeKClFch,Turkana County
43,sANMZ3lpqGs,Vihiga County
44,XWALbfAPa6n,West Pokot County
45,yhCUgGcCcOo,Machakos County
46,kqJ83J2D72s,Narok County
47,u4t9H8XyU9P,Siaya County
