County Code,Counties,Census
vvOK1BxTbet,Baringo County,666763
HMNARUV2CW4,Bomet County,875689
KGHhQ5GLd4k,Bungoma County,1670570
MqnLxQBigG0,Elgeyo Marakwet County,454480
PFu8alU2KWG,Embu County,608599
uyOrcHZBpW0,Garissa County,841353
nK0A12Q7MvS,Homa Bay County,1131950
bzOfj0iwfDH,Isiolo County,268002
Hsk1YV8kHkT,Kajiado County,1117840
ihZsJ8alvtb,Kericho County,901777
qKzosKQPl6G,Kiambu County,2417735
nrI2khZx3d0,Kilifi County,1453787
Ulj33KBau7V,Kirinyaga County,610411
sPkRcDvhGWA,Kisii County,1266860
tAbBVBbueqD,Kisumu County,1155574
j8o6iO4Njsi,Kitui County,1136187
N7YETT3A9r1,Kwale County,866820
xuFdFy6t9AH,Laikipia County,518560
NjWSbQTwys4,Lamu County,143920
BoDytkJQ4Qi,Makueni County,987653
R6f9znhg37c,Mandera County,867457
Eey8fT4Im3y,Marsabit County,459785
Y52XNJ50hYb,Meru County,1545714
fVra3Pwta0Q,Migori County,1116436
wsBsC6gjHvn,Mombasa County,1208333
ahwTMNAJvrL,Muranga County,1056640
jkG3zaihdSs,Nairobi County,4397073
ob6SxuRcqU4,Nakuru County,2162202
t0J75eHKxz5,Nandi County,885711
uepLTG8wGWJ,Nyamira County,605576
mYZacFNIB3h,Nyandarua County,638289
ptWVfaCIdVx,Nyeri County,759164
o36zCRjSd4G,Samburu County,310327
QyGNX2DpR4h,Taita Taveta County,340671
JsH2bnvNt2d,Tana River County,315943
T4urHM47nlm,Tharaka Nithi County,393177
pZqQRRW7PHP,Uasin Gishu County,1163186
CeLsrJOH0g9,Wajir County,781263
Tvf1zgVZ0K4,Busia County,893681
BjC1xL40gHo,Kakamega County,1867579
mThvosEflAU,Trans Nzoia County,990341
kphDeKClFch,Turkana County,926976
sANMZ3lpqGs,Vihiga County,590013
XWALbfAPa6n,West Pokot County,621241
yhCUgGcCcOo,Machakos County,1421932
kqJ83J2D72s,Narok County,1157873
u4t9H8XyU9P,Siaya County,993183
